''''recordId,surveyId,district,enumeratorId,surveyDate,age,gender,education,employmentStatus,householdSize,weeklyHours,monthlyIncome,_plantedAnomaly,_plantedFlags
REC_00047,PLFS_2026,Chennai,E103,2026-07-01,20,Male,Higher Secondary,Employed,2,48,26721,False,
REC_00048,PLFS_2026,Coimbatore,E108,2026-07-01,41,Male,Secondary,Employed,5,50,19823,False,
REC_00049,PLFS_2026,Chennai,E105,2026-07-01,30,Male,Below Primary,Self-Employed,4,38,12041,False,
REC_00050,PLFS_2026,Trichy,E108,2026-07-01,41,Female,Secondary,Employed,6,34,19733,False,
REC_00051,PLFS_2026,Coimbatore,E103,2026-07-01,55,Female,Below Primary,Employed,4,51,13410,False,
REC_00052,PLFS_2026,Trichy,E106,2026-07-01,53,Male,Higher Secondary,Self-Employed,2,33,21972,False,
REC_00053,PLFS_2026,Chennai,E107,2026-07-01,18,Female,Below Primary,Employed,5,54,10959,False,
REC_00054,PLFS_2026,Trichy,E104,2026-07-01,33,Female,Post Graduate,Employed,3,45,38966,False,
REC_00055,PLFS_2026,Salem,E107,2026-07-01,44,Female,Post Graduate,Self-Employed,3,52,41389,False,
REC_00056,PLFS_2026,Coimbatore,E103,2026-07-01,30,Female,Higher Secondary,Self-Employed,5,119,21594,True,planted_hours_spike
REC_00057,PLFS_2026,Trichy,E104,2026-07-01,49,Female,Below Primary,Employed,3,47,13304,False,
REC_00058,PLFS_2026,Trichy,E105,2026-07-01,27,Female,Below Primary,Employed,3,43,10675,False,
REC_00059,PLFS_2026,Salem,E102,2026-07-01,65,Female,Post Graduate,Self-Employed,3,107,144903,True,planted_combo_anomaly
REC_00060,PLFS_2026,Trichy,E103,2026-07-01,24,Male,Higher Secondary,Employed,4,97,96654,True,planted_combo_anomaly
REC_00061,PLFS_2026,Trichy,E101,2026-07-01,56,Male,Higher Secondary,Employed,7,47,19082,False,
REC_00062,PLFS_2026,Madurai,E108,2026-07-01,43,Male,Graduate,Employed,3,52,20735,False,
REC_00063,PLFS_2026,Chennai,E102,2026-07-01,65,Male,Post Graduate,Self-Employed,5,111,132869,True,planted_combo_anomaly
REC_00064,PLFS_2026,Trichy,E103,2026-07-01,47,Male,Graduate,Employed,5,34,31992,False,
REC_00065,PLFS_2026,Madurai,E108,2026-07-01,18,Male,Higher Secondary,Employed,3,53,19573,False,
REC_00066,PLFS_2026,Madurai,E101,2026-07-01,19,Female,Post Graduate,Employed,4,40,42784,False,
REC_00067,PLFS_2026,Coimbatore,E106,2026-07-01,27,Male,Higher Secondary,Self-Employed,2,28,22747,False,
REC_00068,PLFS_2026,Salem,E105,2026-07-01,36,Female,Below Primary,Unemployed,2,0,0,False,
REC_00069,PLFS_2026,Coimbatore,E106,2026-07-01,35,Female,Higher Secondary,Employed,4,47,16700,False,
REC_00070,PLFS_2026,Trichy,E107,2026-07-01,62,Male,Graduate,Self-Employed,3,50,32307,False,
REC_00071,PLFS_2026,Coimbatore,E102,2026-07-01,36,Male,Post Graduate,Employed,4,102,114216,True,planted_combo_anomaly
REC_00072,PLFS_2026,Coimbatore,E103,2026-07-01,34,Female,Graduate,Employed,3,41,153109,True,planted_income_spike
REC_00073,PLFS_2026,Salem,E103,2026-07-01,51,Female,Higher Secondary,Employed,6,52,27590,False,
REC_00074,PLFS_2026,Trichy,E104,2026-07-01,33,Female,Post Graduate,Employed,3,38,42894,False,
REC_00075,PLFS_2026,Salem,E107,2026-07-01,40,Male,Higher Secondary,Employed,3,55,23781,False,
REC_00076,PLFS_2026,Salem,E106,2026-07-01,27,Male,Below Primary,Employed,3,50,14500,False,
REC_00077,PLFS_2026,Madurai,E103,2026-07-01,44,Female,Higher Secondary,Employed,6,97,23940,True,planted_hours_spike
REC_00078,PLFS_2026,Salem,E102,2026-07-01,27,Male,Secondary,Self-Employed,2,107,81097,True,planted_combo_anomaly
REC_00079,PLFS_2026,Coimbatore,E104,2026-07-01,59,Male,Below Primary,Employed,4,54,11411,False,
REC_00080,PLFS_2026,Salem,E106,2026-07-01,45,Male,Graduate,Employed,5,29,25684,False,
REC_00081,PLFS_2026,Chennai,E101,2026-07-01,49,Female,Secondary,Employed,4,35,9251,False,
REC_00082,PLFS_2026,Trichy,E105,2026-07-01,33,Female,Graduate,Self-Employed,3,37,28801,False,
REC_00083,PLFS_2026,Salem,E107,2026-07-01,44,Female,Below Primary,Employed,4,26,8845,False,
REC_00084,PLFS_2026,Coimbatore,E105,2026-07-01,34,Female,Higher Secondary,Employed,4,48,24076,False,
REC_00085,PLFS_2026,Salem,E108,2026-07-01,33,Female,Post Graduate,Self-Employed,3,39,43838,False,
REC_00086,PLFS_2026,Trichy,E108,2026-07-01,26,Female,Higher Secondary,Self-Employed,5,46,21801,False,
REC_00087,PLFS_2026,Madurai,E101,2026-07-01,30,Male,Higher Secondary,Employed,2,39,20547,False,
REC_00088,PLFS_2026,Coimbatore,E107,2026-07-01,18,Male,Graduate,Employed,3,52,31176,False,
REC_00089,PLFS_2026,Salem,E101,2026-07-01,32,Female,Post Graduate,Unemployed,4,0,0,False,
REC_00090,PLFS_2026,Madurai,E101,2026-07-01,56,Female,Secondary,Self-Employed,5,49,70870,True,planted_income_spike
REC_00091,PLFS_2026,Salem,E103,2026-07-01,46,Female,Graduate,Self-Employed,1,42,31268,False,
REC_00092,PLFS_2026,Coimbatore,E108,2026-07-01,46,Female,Post Graduate,Employed,4,47,142847,True,planted_income_spike
REC_00093,PLFS_2026,Madurai,E105,2026-07-01,44,Male,Below Primary,Employed,2,38,12148,False,
REC_00094,PLFS_2026,Trichy,E105,2026-07-01,40,Female,Below Primary,Employed,1,48,13854,False,
REC_00095,PLFS_2026,Trichy,E101,2026-07-01,37,Female,Graduate,Unemployed,7,0,0,False,
REC_00096,PLFS_2026,Trichy,E103,2026-07-01,33,Male,Secondary,Employed,3,42,12935,False,
REC_00097,PLFS_2026,Salem,E108,2026-07-01,31,Male,Higher Secondary,Employed,3,54,31689,False,
REC_00098,PLFS_2026,Coimbatore,E105,2026-07-01,54,Female,Below Primary,Employed,2,39,11617,False,
REC_00099,PLFS_2026,Chennai,E103,2026-07-01,59,Female,Secondary,Unemployed,3,116,0,True,planted_hours_spike
REC_00100,PLFS_2026,Madurai,E107,2026-07-01,47,Female,Post Graduate,Employed,4,43,43193,False,
REC_00101,PLFS_2026,Trichy,E106,2026-07-01,18,Male,Higher Secondary,Self-Employed,4,51,18335,False,
REC_00102,PLFS_2026,Trichy,E103,2026-07-01,27,Male,Post Graduate,Unemployed,1,0,0,False,
REC_00103,PLFS_2026,Madurai,E106,2026-07-01,40,Female,Higher Secondary,Employed,4,57,21322,False,
REC_00104,PLFS_2026,Coimbatore,E105,2026-07-01,31,Female,Higher Secondary,Unemployed,4,0,0,False,
REC_00105,PLFS_2026,Madurai,E102,2026-07-01,26,Male,Graduate,Employed,1,35,32840,False,
REC_00106,PLFS_2026,Trichy,E108,2026-07-01,34,Male,Graduate,Employed,3,39,28476,False,
REC_00107,PLFS_2026,Coimbatore,E104,2026-07-01,35,Male,Graduate,Employed,3,55,36612,False,
REC_00108,PLFS_2026,Madurai,E107,2026-07-01,18,Male,Graduate,Employed,4,38,26609,False,
REC_00109,PLFS_2026,Chennai,E101,2026-07-01,41,Male,Post Graduate,Self-Employed,3,46,43114,False,
REC_00110,PLFS_2026,Madurai,E101,2026-07-01,41,Male,Below Primary,Employed,3,39,8544,False,
REC_00111,PLFS_2026,Madurai,E106,2026-07-01,27,Male,Higher Secondary,Unemployed,6,0,0,False,
REC_00112,PLFS_2026,Madurai,E106,2026-07-01,41,Female,Below Primary,Employed,3,43,15381,False,
REC_00113,PLFS_2026,Chennai,E102,2026-07-01,44,Female,Post Graduate,Employed,3,41,34180,False,
REC_00114,PLFS_2026,Chennai,E107,2026-07-01,48,Male,Higher Secondary,Employed,3,30,21787,False,
REC_00115,PLFS_2026,Salem,E105,2026-07-01,19,Male,Post Graduate,Employed,6,37,36769,False,
REC_00116,PLFS_2026,Trichy,E106,2026-07-01,41,Female,Post Graduate,Unemployed,3,0,0,False,
REC_00117,PLFS_2026,Coimbatore,E102,2026-07-01,56,Female,Secondary,Unemployed,4,0,69618,True,planted_income_spike
REC_00118,PLFS_2026,Coimbatore,E105,2026-07-01,41,Female,Post Graduate,Employed,4,47,48459,False,
REC_00119,PLFS_2026,Madurai,E101,2026-07-01,35,Female,Graduate,Employed,3,49,18042,False,
REC_00120,PLFS_2026,Madurai,E108,2026-07-01,35,Female,Secondary,Employed,3,37,21805,False,
REC_00121,PLFS_2026,Madurai,E101,2026-07-01,25,Female,Higher Secondary,Employed,3,47,27955,False,
REC_00122,PLFS_2026,Madurai,E104,2026-07-01,37,Male,Post Graduate,Employed,5,50,38938,False,
REC_00123,PLFS_2026,Trichy,E104,2026-07-01,24,Male,Secondary,Self-Employed,2,45,16046,False,
REC_00124,PLFS_2026,Trichy,E108,2026-07-01,49,Male,Post Graduate,Employed,4,43,182122,True,planted_income_spike
REC_00125,PLFS_2026,Trichy,E101,2026-07-01,44,Male,Secondary,Employed,2,38,14474,False,
REC_00126,PLFS_2026,Chennai,E102,2026-07-01,36,Male,Below Primary,Employed,5,103,45262,True,planted_combo_anomaly
REC_00127,PLFS_2026,Coimbatore,E102,2026-07-01,19,Female,Graduate,Employed,4,99,88682,True,planted_combo_anomaly
REC_00128,PLFS_2026,Madurai,E106,2026-07-01,33,Male,Higher Secondary,Employed,5,43,21740,False,
REC_00129,PLFS_2026,Madurai,E105,2026-07-01,43,Male,Below Primary,Employed,6,52,11787,False,
REC_00130,PLFS_2026,Chennai,E108,2026-07-01,38,Male,Secondary,Employed,3,37,16010,False,
REC_00131,PLFS_2026,Coimbatore,E106,2026-07-01,28,Male,Below Primary,Employed,4,36,15199,False,
REC_00132,PLFS_2026,Chennai,E108,2026-07-01,47,Female,Secondary,Employed,4,45,15993,False,
REC_00133,PLFS_2026,Salem,E106,2026-07-01,41,Female,Graduate,Self-Employed,5,39,19413,False,
REC_00134,PLFS_2026,Salem,E101,2026-07-01,46,Male,Graduate,Employed,4,36,23893,False,
REC_00135,PLFS_2026,Coimbatore,E107,2026-07-01,27,Female,Higher Secondary,Employed,3,42,115992,True,planted_income_spike
REC_00136,PLFS_2026,Madurai,E105,2026-07-01,30,Female,Post Graduate,Employed,3,112,39274,True,planted_hours_spike
REC_00137,PLFS_2026,Trichy,E108,2026-07-01,34,Male,Higher Secondary,Self-Employed,5,49,100644,True,planted_income_spike
REC_00138,PLFS_2026,Trichy,E104,2026-07-01,44,Male,Graduate,Employed,4,41,19626,False,
REC_00139,PLFS_2026,Trichy,E107,2026-07-01,38,Female,Below Primary,Employed,3,36,8517,False,
REC_00140,PLFS_2026,Trichy,E107,2026-07-01,36,Male,Graduate,Employed,3,41,27532,False,
REC_00141,PLFS_2026,Coimbatore,E102,2026-07-01,24,Male,Higher Secondary,Employed,3,49,20460,False,
REC_00142,PLFS_2026,Chennai,E108,2026-07-01,18,Male,Post Graduate,Employed,3,36,40030,False,
REC_00143,PLFS_2026,Chennai,E102,2026-07-01,41,Female,Graduate,Self-Employed,1,51,21771,False,
REC_00144,PLFS_2026,Trichy,E103,2026-07-01,56,Female,Below Primary,Employed,3,35,9259,False,
REC_00145,PLFS_2026,Chennai,E106,2026-07-01,42,Male,Graduate,Employed,3,44,37031,False,
REC_00146,PLFS_2026,Trichy,E106,2026-07-01,29,Male,Graduate,Employed,4,56,29514,False,
REC_00147,PLFS_2026,Salem,E102,2026-07-01,18,Female,Graduate,Unemployed,4,0,104760,True,planted_income_spike
REC_00148,PLFS_2026,Trichy,E103,2026-07-01,28,Female,Secondary,Employed,7,56,15132,False,
REC_00149,PLFS_2026,Madurai,E103,2026-07-01,38,Female,Higher Secondary,Employed,4,51,23946,False,
REC_00150,PLFS_2026,Chennai,E108,2026-07-01,53,Female,Higher Secondary,Employed,3,42,82787,True,planted_income_spike
REC_00151,PLFS_2026,Trichy,E106,2026-07-01,48,Female,Graduate,Self-Employed,4,47,32453,False,
REC_00152,PLFS_2026,Chennai,E106,2026-07-01,18,Male,Below Primary,Self-Employed,4,46,16005,False,
REC_00153,PLFS_2026,Madurai,E103,2026-07-01,19,Female,Graduate,Self-Employed,6,45,30738,False,
REC_00154,PLFS_2026,Trichy,E101,2026-07-01,58,Male,Below Primary,Unemployed,4,0,0,False,
REC_00155,PLFS_2026,Madurai,E106,2026-07-01,32,Male,Graduate,Employed,3,39,27750,False,
REC_00156,PLFS_2026,Madurai,E105,2026-07-01,18,Female,Secondary,Employed,4,44,16789,False,
REC_00157,PLFS_2026,Trichy,E106,2026-07-01,40,Female,Below Primary,Employed,2,60,11753,False,
REC_00158,PLFS_2026,Coimbatore,E103,2026-07-01,36,Female,Secondary,Employed,2,45,22993,False,
REC_00159,PLFS_2026,Coimbatore,E102,2026-07-01,50,Female,Below Primary,Employed,5,49,11139,False,
REC_00160,PLFS_2026,Chennai,E106,2026-07-01,20,Male,Below Primary,Employed,3,43,14517,False,
REC_00161,PLFS_2026,Salem,E101,2026-07-01,41,Female,Below Primary,Self-Employed,6,54,10904,False,
REC_00162,PLFS_2026,Chennai,E106,2026-07-01,18,Male,Below Primary,Unemployed,5,0,0,False,
REC_00163,PLFS_2026,Madurai,E108,2026-07-01,56,Male,Secondary,Employed,4,99,23813,True,planted_hours_spike
REC_00164,PLFS_2026,Coimbatore,E106,2026-07-01,54,Female,Higher Secondary,Self-Employed,4,106,69811,True,planted_combo_anomaly
REC_00165,PLFS_2026,Trichy,E105,2026-07-01,33,Female,Higher Secondary,Employed,3,37,20534,False,
REC_00166,PLFS_2026,Madurai,E108,2026-07-01,33,Male,Graduate,Employed,3,46,26185,False,
REC_00167,PLFS_2026,Trichy,E105,2026-07-01,44,Female,Below Primary,Employed,1,44,12315,False,
REC_00168,PLFS_2026,Chennai,E103,2026-07-01,34,Male,Higher Secondary,Self-Employed,3,32,23568,False,
REC_00169,PLFS_2026,Chennai,E104,2026-07-01,45,Male,Below Primary,Employed,4,53,12483,False,
REC_00170,PLFS_2026,Chennai,E103,2026-07-01,43,Female,Secondary,Unemployed,4,0,0,False,
REC_00171,PLFS_2026,Chennai,E108,2026-07-01,27,Male,Higher Secondary,Employed,6,25,21383,False,
REC_00172,PLFS_2026,Trichy,E104,2026-07-01,52,Male,Graduate,Employed,3,41,28724,False,
REC_00173,PLFS_2026,Coimbatore,E105,2026-07-01,33,Female,Graduate,Employed,4,39,34208,False,
REC_00174,PLFS_2026,Trichy,E104,2026-07-01,55,Female,Higher Secondary,Self-Employed,3,33,19695,False,
REC_00175,PLFS_2026,Trichy,E104,2026-07-01,35,Male,Higher Secondary,Self-Employed,4,36,18615,False,
REC_00176,PLFS_2026,Coimbatore,E105,2026-07-01,44,Male,Higher Secondary,Employed,5,123,16133,True,planted_hours_spike
REC_00177,PLFS_2026,Salem,E101,2026-07-01,65,Female,Post Graduate,Employed,5,42,44604,False,
REC_00178,PLFS_2026,Chennai,E106,2026-07-01,36,Male,Secondary,Employed,5,46,18328,False,
REC_00179,PLFS_2026,Chennai,E101,2026-07-01,36,Female,Higher Secondary,Employed,2,60,17857,False,
REC_00180,PLFS_2026,Coimbatore,E105,2026-07-01,21,Male,Secondary,Employed,3,37,17813,False,
REC_00181,PLFS_2026,Chennai,E102,2026-07-01,46,Female,Below Primary,Unemployed,5,0,0,False,
REC_00182,PLFS_2026,Chennai,E103,2026-07-01,38,Female,Graduate,Unemployed,4,0,0,False,
REC_00183,PLFS_2026,Chennai,E103,2026-07-01,20,Male,Graduate,Unemployed,6,0,0,False,
REC_00184,PLFS_2026,Salem,E104,2026-07-01,28,Female,Below Primary,Unemployed,3,0,0,False,
REC_00185,PLFS_2026,Chennai,E102,2026-07-01,19,Female,Post Graduate,Employed,5,54,134004,True,planted_income_spike
REC_00186,PLFS_2026,Coimbatore,E101,2026-07-01,41,Male,Secondary,Self-Employed,3,111,15133,True,planted_hours_spike
REC_00187,PLFS_2026,Coimbatore,E106,2026-07-01,39,Female,Below Primary,Self-Employed,3,94,40590,True,planted_combo_anomaly
REC_00188,PLFS_2026,Coimbatore,E101,2026-07-01,23,Female,Below Primary,Self-Employed,4,31,11042,False,
REC_00189,PLFS_2026,Chennai,E101,2026-07-01,43,Female,Higher Secondary,Self-Employed,2,99,75514,True,planted_combo_anomaly
REC_00190,PLFS_2026,Chennai,E104,2026-07-01,51,Male,Below Primary,Employed,5,40,12184,False,
REC_00191,PLFS_2026,Madurai,E101,2026-07-01,40,Female,Below Primary,Employed,4,45,12456,False,
REC_00192,PLFS_2026,Salem,E102,2026-07-01,35,Male,Secondary,Self-Employed,4,106,20325,True,planted_hours_spike
REC_00193,PLFS_2026,Trichy,E106,2026-07-01,46,Male,Higher Secondary,Unemployed,4,0,0,False,
REC_00194,PLFS_2026,Salem,E103,2026-07-01,24,Female,Below Primary,Employed,5,126,11790,True,planted_hours_spike
REC_00195,PLFS_2026,Trichy,E101,2026-07-01,51,Female,Post Graduate,Employed,2,48,32826,False,
REC_00196,PLFS_2026,Trichy,E101,2026-07-01,33,Female,Graduate,Employed,5,46,16607,False,
REC_00197,PLFS_2026,Chennai,E104,2026-07-01,26,Female,Secondary,Unemployed,5,0,0,False,
REC_00198,PLFS_2026,Madurai,E104,2026-07-01,58,Female,Higher Secondary,Employed,3,65,22107,False,
REC_00199,PLFS_2026,Salem,E104,2026-07-01,26,Female,Graduate,Employed,3,26,121392,True,planted_income_spike
REC_00200,PLFS_2026,Chennai,E104,2026-07-01,57,Female,Below Primary,Employed,2,43,12229,False,
REC_00201,PLFS_2026,Madurai,E107,2026-07-01,26,Male,Graduate,Employed,1,43,26201,False,
REC_00202,PLFS_2026,Chennai,E108,2026-07-01,33,Male,Post Graduate,Employed,4,56,35696,False,
REC_00203,PLFS_2026,Madurai,E103,2026-07-01,40,Male,Higher Secondary,Employed,4,49,19296,False,
REC_00204,PLFS_2026,Chennai,E102,2026-07-01,39,Male,Graduate,Self-Employed,4,35,122931,True,planted_income_spike
REC_00205,PLFS_2026,Chennai,E107,2026-07-01,55,Male,Below Primary,Employed,3,46,13541,False,
REC_00206,PLFS_2026,Chennai,E102,2026-07-01,31,Male,Post Graduate,Self-Employed,4,46,26843,False,
REC_00207,PLFS_2026,Salem,E106,2026-07-01,43,Female,Higher Secondary,Self-Employed,2,52,19046,False,
REC_00208,PLFS_2026,Trichy,E108,2026-07-01,36,Male,Below Primary,Employed,5,48,9409,False,
REC_00209,PLFS_2026,Trichy,E107,2026-07-01,25,Female,Below Primary,Employed,3,48,12859,False,
REC_00210,PLFS_2026,Madurai,E107,2026-07-01,27,Male,Below Primary,Self-Employed,2,47,11563,False,
REC_00211,PLFS_2026,Madurai,E108,2026-07-01,63,Male,Below Primary,Employed,4,59,9191,False,
REC_00212,PLFS_2026,Coimbatore,E101,2026-07-01,19,Female,Below Primary,Employed,2,105,16214,True,planted_hours_spike
REC_00213,PLFS_2026,Madurai,E101,2026-07-01,28,Female,Secondary,Employed,3,35,11478,False,
REC_00214,PLFS_2026,Trichy,E103,2026-07-01,46,Male,Post Graduate,Employed,4,45,27359,False,
REC_00215,PLFS_2026,Coimbatore,E101,2026-07-01,57,Female,Below Primary,Self-Employed,3,49,8509,False,
REC_00216,PLFS_2026,Trichy,E107,2026-07-01,35,Female,Higher Secondary,Employed,4,47,22680,False,
REC_00217,PLFS_2026,Chennai,E106,2026-07-01,43,Female,Graduate,Employed,2,46,28637,False,
REC_00218,PLFS_2026,Chennai,E107,2026-07-01,40,Male,Below Primary,Self-Employed,4,34,8837,False,
REC_00219,PLFS_2026,Salem,E104,2026-07-01,18,Male,Below Primary,Employed,5,51,14024,False,
REC_00220,PLFS_2026,Coimbatore,E103,2026-07-01,41,Male,Post Graduate,Employed,1,36,39295,False,
REC_00221,PLFS_2026,Salem,E101,2026-07-01,39,Male,Secondary,Unemployed,3,0,0,False,
REC_00222,PLFS_2026,Coimbatore,E103,2026-07-01,39,Male,Post Graduate,Employed,3,52,192400,True,planted_income_spike
REC_00223,PLFS_2026,Madurai,E103,2026-07-01,22,Male,Below Primary,Employed,2,42,14385,False,
REC_00224,PLFS_2026,Salem,E105,2026-07-01,37,Female,Secondary,Unemployed,3,0,0,False,
REC_00225,PLFS_2026,Trichy,E102,2026-07-01,30,Female,Post Graduate,Unemployed,3,0,0,False,
REC_00226,PLFS_2026,Madurai,E101,2026-07-01,18,Male,Secondary,Employed,1,44,13634,False,
REC_00227,PLFS_2026,Madurai,E101,2026-07-01,45,Male,Secondary,Self-Employed,4,46,15455,False,
REC_00228,PLFS_2026,Madurai,E108,2026-07-01,58,Male,Below Primary,Employed,7,42,12847,False,
REC_00229,PLFS_2026,Madurai,E101,2026-07-01,39,Male,Post Graduate,Employed,3,38,29754,False,
REC_00230,PLFS_2026,Salem,E101,2026-07-01,24,Female,Secondary,Employed,4,40,8718,False,
REC_00231,PLFS_2026,Chennai,E106,2026-07-01,43,Male,Graduate,Employed,3,55,30089,False,
REC_00232,PLFS_2026,Salem,E107,2026-07-01,20,Male,Post Graduate,Employed,1,39,33249,False,
REC_00233,PLFS_2026,Madurai,E102,2026-07-01,49,Male,Graduate,Unemployed,3,0,0,False,
REC_00234,PLFS_2026,Chennai,E108,2026-07-01,49,Male,Secondary,Employed,4,28,22761,False,
REC_00235,PLFS_2026,Trichy,E104,2026-07-01,39,Male,Higher Secondary,Employed,4,38,27611,False,
REC_00236,PLFS_2026,Trichy,E105,2026-07-01,23,Female,Graduate,Employed,5,51,22544,False,
REC_00237,PLFS_2026,Trichy,E102,2026-07-01,61,Male,Graduate,Employed,4,102,87129,True,planted_combo_anomaly
REC_00238,PLFS_2026,Trichy,E106,2026-07-01,63,Female,Graduate,Employed,2,53,22429,False,
REC_00239,PLFS_2026,Chennai,E107,2026-07-01,30,Female,Secondary,Employed,5,53,13423,False,
REC_00240,PLFS_2026,Trichy,E107,2026-07-01,51,Male,Higher Secondary,Employed,5,37,29034,False,
REC_00241,PLFS_2026,Salem,E105,2026-07-01,20,Female,Graduate,Employed,3,48,23220,False,
REC_00242,PLFS_2026,Madurai,E105,2026-07-01,41,Male,Secondary,Employed,4,43,20996,False,
REC_00243,PLFS_2026,Salem,E101,2026-07-01,35,Female,Secondary,Employed,4,54,20846,False,
