recordId,surveyId,district,enumeratorId,surveyDate,age,gender,education,employmentStatus,householdSize,weeklyHours,monthlyIncome,_plantedAnomaly,_plantedFlags
HIST_00035,PLFS_2026,Chennai,E102,2024-02-01,40,Female,Higher Secondary,Self-Employed,5,32,22812,False,
HIST_00036,PLFS_2026,Chennai,E104,2024-07-01,41,Male,Post Graduate,Employed,5,35,27964,False,
HIST_00037,PLFS_2026,Coimbatore,E103,2024-09-01,44,Female,Secondary,Self-Employed,4,47,19247,False,
HIST_00038,PLFS_2026,Chennai,E108,2025-06-01,29,Male,Below Primary,Unemployed,4,0,0,False,
HIST_00039,PLFS_2026,Trichy,E101,2024-03-01,60,Male,Secondary,Employed,4,35,20363,False,
HIST_00040,PLFS_2026,Coimbatore,E104,2025-01-01,26,Male,Secondary,Employed,5,54,15045,False,
HIST_00041,PLFS_2026,Coimbatore,E105,2025-03-01,49,Female,Graduate,Unemployed,4,0,0,False,
HIST_00042,PLFS_2026,Trichy,E108,2024-05-01,35,Male,Higher Secondary,Employed,3,37,18410,False,
HIST_00043,PLFS_2026,Chennai,E101,2025-12-01,37,Female,Below Primary,Employed,4,47,13985,False,
HIST_00044,PLFS_2026,Coimbatore,E103,2024-02-01,38,Male,Secondary,Employed,5,42,27792,False,
HIST_00045,PLFS_2026,Chennai,E104,2025-01-01,45,Male,Post Graduate,Employed,2,36,41666,False,
HIST_00046,PLFS_2026,Trichy,E101,2025-08-01,35,Male,Graduate,Unemployed,4,0,0,False,
HIST_00047,PLFS_2026,Trichy,E106,2024-09-01,27,Male,Higher Secondary,Employed,2,41,25768,False,
HIST_00048,PLFS_2026,Coimbatore,E103,2025-10-01,40,Female,Graduate,Employed,2,46,30157,False,
HIST_00049,PLFS_2026,Chennai,E101,2025-03-01,27,Male,Below Primary,Employed,4,45,9256,False,
HIST_00050,PLFS_2026,Trichy,E105,2024-05-01,42,Female,Below Primary,Self-Employed,4,53,14529,False,
HIST_00051,PLFS_2026,Salem,E105,2024-06-01,21,Female,Post Graduate,Unemployed,2,0,0,False,
HIST_00052,PLFS_2026,Trichy,E101,2025-10-01,44,Female,Below Primary,Self-Employed,9,49,14725,False,
HIST_00053,PLFS_2026,Madurai,E105,2024-04-01,49,Male,Post Graduate,Employed,4,42,43768,False,
HIST_00054,PLFS_2026,Salem,E104,2025-11-01,28,Female,Secondary,Unemployed,3,0,0,False,
HIST_00055,PLFS_2026,Salem,E108,2024-09-01,65,Male,Below Primary,Unemployed,1,0,0,False,
HIST_00056,PLFS_2026,Salem,E101,2024-01-01,32,Female,Secondary,Unemployed,5,0,0,False,
HIST_00057,PLFS_2026,Salem,E103,2025-12-01,29,Female,Post Graduate,Unemployed,4,0,0,False,
HIST_00058,PLFS_2026,Trichy,E101,2024-04-01,38,Male,Secondary,Employed,3,62,20282,False,
HIST_00059,PLFS_2026,Salem,E103,2025-02-01,18,Male,Below Primary,Employed,4,39,14045,False,
HIST_00060,PLFS_2026,Chennai,E106,2024-07-01,28,Male,Below Primary,Employed,3,49,14077,False,
HIST_00061,PLFS_2026,Trichy,E107,2025-08-01,23,Male,Secondary,Self-Employed,3,41,15648,False,
HIST_00062,PLFS_2026,Madurai,E107,2024-01-01,59,Male,Higher Secondary,Self-Employed,4,34,26038,False,
HIST_00063,PLFS_2026,Coimbatore,E104,2024-09-01,63,Male,Below Primary,Employed,5,32,10837,False,
HIST_00064,PLFS_2026,Chennai,E108,2024-08-01,53,Male,Graduate,Employed,3,48,32337,False,
HIST_00065,PLFS_2026,Madurai,E104,2024-01-01,26,Male,Graduate,Employed,3,19,22263,False,
HIST_00066,PLFS_2026,Chennai,E105,2024-12-01,34,Female,Post Graduate,Employed,2,58,27130,False,
HIST_00067,PLFS_2026,Chennai,E102,2024-09-01,32,Male,Post Graduate,Self-Employed,4,56,27087,False,
HIST_00068,PLFS_2026,Salem,E101,2024-04-01,51,Female,Higher Secondary,Unemployed,4,0,0,False,
HIST_00069,PLFS_2026,Salem,E107,2025-08-01,40,Male,Graduate,Self-Employed,3,45,25842,False,
HIST_00070,PLFS_2026,Madurai,E105,2024-02-01,39,Female,Below Primary,Employed,4,57,9029,False,
HIST_00071,PLFS_2026,Trichy,E104,2024-12-01,63,Female,Below Primary,Self-Employed,1,43,13411,False,
HIST_00072,PLFS_2026,Salem,E106,2025-10-01,41,Male,Higher Secondary,Employed,3,43,19830,False,
HIST_00073,PLFS_2026,Coimbatore,E106,2025-01-01,30,Female,Post Graduate,Employed,5,47,32733,False,
HIST_00074,PLFS_2026,Coimbatore,E107,2025-10-01,48,Male,Post Graduate,Employed,4,51,42785,False,
HIST_00075,PLFS_2026,Coimbatore,E101,2024-10-01,28,Female,Secondary,Employed,3,50,20197,False,
HIST_00076,PLFS_2026,Trichy,E106,2025-03-01,37,Female,Graduate,Unemployed,4,0,0,False,
HIST_00077,PLFS_2026,Trichy,E108,2025-12-01,44,Male,Below Primary,Employed,3,43,14637,False,
HIST_00078,PLFS_2026,Trichy,E106,2024-03-01,47,Male,Higher Secondary,Employed,5,55,22092,False,
HIST_00079,PLFS_2026,Madurai,E103,2024-01-01,46,Male,Secondary,Self-Employed,3,47,17531,False,
HIST_00080,PLFS_2026,Trichy,E102,2025-03-01,39,Female,Post Graduate,Employed,4,38,53902,False,
HIST_00081,PLFS_2026,Coimbatore,E108,2025-01-01,25,Male,Secondary,Unemployed,2,0,0,False,
HIST_00082,PLFS_2026,Chennai,E102,2025-02-01,45,Male,Secondary,Self-Employed,4,44,14769,False,
HIST_00083,PLFS_2026,Trichy,E108,2024-02-01,38,Male,Below Primary,Employed,3,52,11647,False,
HIST_00084,PLFS_2026,Coimbatore,E106,2025-03-01,28,Female,Post Graduate,Employed,3,48,33715,False,
HIST_00085,PLFS_2026,Madurai,E108,2025-03-01,28,Female,Secondary,Self-Employed,4,46,16175,False,
HIST_00086,PLFS_2026,Salem,E108,2025-09-01,32,Male,Higher Secondary,Employed,4,33,15807,False,
HIST_00087,PLFS_2026,Salem,E104,2024-09-01,29,Female,Higher Secondary,Self-Employed,3,47,28491,False,
HIST_00088,PLFS_2026,Chennai,E103,2024-05-01,48,Male,Graduate,Unemployed,3,0,0,False,
HIST_00089,PLFS_2026,Madurai,E102,2025-02-01,37,Female,Higher Secondary,Employed,3,47,18360,False,
HIST_00090,PLFS_2026,Coimbatore,E101,2024-07-01,44,Female,Graduate,Self-Employed,5,44,30249,False,
HIST_00091,PLFS_2026,Trichy,E101,2025-07-01,46,Female,Graduate,Employed,3,46,28070,False,
HIST_00092,PLFS_2026,Salem,E105,2025-01-01,39,Female,Post Graduate,Unemployed,2,0,0,False,
HIST_00093,PLFS_2026,Trichy,E104,2025-04-01,55,Male,Higher Secondary,Employed,5,62,18623,False,
HIST_00094,PLFS_2026,Chennai,E107,2024-11-01,48,Female,Secondary,Self-Employed,4,62,15090,False,
HIST_00095,PLFS_2026,Madurai,E101,2025-01-01,27,Male,Below Primary,Unemployed,3,0,0,False,
HIST_00096,PLFS_2026,Madurai,E108,2024-06-01,28,Male,Higher Secondary,Employed,4,47,30255,False,
HIST_00097,PLFS_2026,Madurai,E108,2024-11-01,49,Female,Graduate,Employed,3,37,30754,False,
HIST_00098,PLFS_2026,Coimbatore,E105,2024-03-01,22,Female,Below Primary,Unemployed,6,0,0,False,
HIST_00099,PLFS_2026,Chennai,E106,2024-08-01,18,Male,Below Primary,Self-Employed,5,44,14970,False,
HIST_00100,PLFS_2026,Madurai,E104,2024-01-01,18,Male,Secondary,Employed,3,45,18169,False,
HIST_00101,PLFS_2026,Chennai,E104,2025-03-01,32,Female,Higher Secondary,Employed,4,36,21373,False,
HIST_00102,PLFS_2026,Trichy,E102,2024-06-01,39,Female,Below Primary,Employed,4,50,9300,False,
HIST_00103,PLFS_2026,Salem,E107,2025-01-01,19,Male,Below Primary,Employed,5,47,10203,False,
HIST_00104,PLFS_2026,Madurai,E102,2025-11-01,56,Female,Post Graduate,Self-Employed,4,54,38513,False,
HIST_00105,PLFS_2026,Trichy,E101,2024-12-01,62,Female,Higher Secondary,Employed,6,43,26274,False,
HIST_00106,PLFS_2026,Salem,E101,2025-02-01,45,Female,Below Primary,Employed,5,37,13646,False,
HIST_00107,PLFS_2026,Salem,E108,2025-11-01,50,Male,Graduate,Employed,1,35,16580,False,
HIST_00108,PLFS_2026,Trichy,E105,2025-08-01,34,Female,Graduate,Employed,4,57,28414,False,
HIST_00109,PLFS_2026,Trichy,E105,2024-11-01,57,Male,Below Primary,Employed,2,31,11866,False,
HIST_00110,PLFS_2026,Coimbatore,E104,2025-03-01,42,Female,Higher Secondary,Employed,3,28,21607,False,
HIST_00111,PLFS_2026,Salem,E103,2025-04-01,22,Male,Higher Secondary,Self-Employed,4,47,17864,False,
HIST_00112,PLFS_2026,Salem,E105,2025-08-01,31,Female,Post Graduate,Employed,2,44,45259,False,
HIST_00113,PLFS_2026,Madurai,E102,2024-08-01,26,Female,Graduate,Employed,4,40,23559,False,
HIST_00114,PLFS_2026,Madurai,E108,2025-09-01,36,Female,Graduate,Self-Employed,2,40,21291,False,
HIST_00115,PLFS_2026,Chennai,E105,2024-08-01,61,Female,Secondary,Employed,4,39,18770,False,
HIST_00116,PLFS_2026,Trichy,E106,2025-04-01,36,Female,Graduate,Self-Employed,3,49,32242,False,
HIST_00117,PLFS_2026,Trichy,E106,2024-12-01,31,Female,Higher Secondary,Employed,3,42,11871,False,
HIST_00118,PLFS_2026,Madurai,E102,2025-12-01,19,Male,Higher Secondary,Employed,5,58,20904,False,
HIST_00119,PLFS_2026,Trichy,E103,2024-07-01,44,Male,Graduate,Employed,4,69,34269,False,
HIST_00120,PLFS_2026,Trichy,E105,2024-04-01,36,Male,Higher Secondary,Employed,2,32,22895,False,
HIST_00121,PLFS_2026,Madurai,E105,2024-01-01,28,Male,Higher Secondary,Employed,2,39,17241,False,
HIST_00122,PLFS_2026,Chennai,E105,2025-11-01,58,Male,Graduate,Employed,5,44,36287,False,
HIST_00123,PLFS_2026,Chennai,E105,2025-04-01,38,Female,Graduate,Employed,2,57,31017,False,
HIST_00124,PLFS_2026,Chennai,E105,2025-04-01,25,Male,Below Primary,Employed,3,37,8681,False,
HIST_00125,PLFS_2026,Chennai,E101,2024-05-01,49,Male,Post Graduate,Self-Employed,6,33,42278,False,
HIST_00126,PLFS_2026,Chennai,E104,2024-04-01,30,Female,Post Graduate,Employed,3,40,31433,False,
HIST_00127,PLFS_2026,Trichy,E104,2025-05-01,38,Female,Graduate,Self-Employed,2,47,27718,False,
HIST_00128,PLFS_2026,Salem,E107,2024-10-01,35,Male,Post Graduate,Self-Employed,2,40,43740,False,
HIST_00129,PLFS_2026,Chennai,E104,2025-09-01,44,Male,Higher Secondary,Unemployed,2,0,0,False,
HIST_00130,PLFS_2026,Madurai,E104,2024-06-01,18,Male,Secondary,Employed,4,39,20054,False,
HIST_00131,PLFS_2026,Coimbatore,E108,2024-10-01,28,Male,Secondary,Employed,1,31,18173,False,
HIST_00132,PLFS_2026,Salem,E108,2024-03-01,41,Male,Higher Secondary,Self-Employed,2,50,14689,False,
HIST_00133,PLFS_2026,Trichy,E104,2025-02-01,37,Male,Post Graduate,Employed,2,39,38360,False,
HIST_00134,PLFS_2026,Madurai,E105,2024-05-01,27,Male,Below Primary,Employed,3,53,10615,False,
HIST_00135,PLFS_2026,Salem,E105,2025-03-01,48,Male,Graduate,Unemployed,2,0,0,False,
HIST_00136,PLFS_2026,Coimbatore,E105,2025-05-01,18,Female,Graduate,Employed,2,49,26862,False,
HIST_00137,PLFS_2026,Chennai,E107,2025-12-01,42,Female,Post Graduate,Employed,3,45,36816,False,
HIST_00138,PLFS_2026,Chennai,E104,2025-10-01,52,Male,Higher Secondary,Employed,4,47,20187,False,
HIST_00139,PLFS_2026,Madurai,E108,2025-05-01,32,Female,Higher Secondary,Employed,3,48,20147,False,
HIST_00140,PLFS_2026,Trichy,E107,2025-09-01,41,Female,Below Primary,Employed,6,51,11217,False,
HIST_00141,PLFS_2026,Coimbatore,E106,2024-11-01,52,Male,Secondary,Employed,3,28,14370,False,
HIST_00142,PLFS_2026,Coimbatore,E105,2025-10-01,18,Female,Post Graduate,Employed,3,45,50740,False,
HIST_00143,PLFS_2026,Chennai,E106,2024-09-01,41,Female,Below Primary,Self-Employed,3,51,6693,False,
HIST_00144,PLFS_2026,Coimbatore,E101,2025-10-01,40,Female,Graduate,Employed,5,33,34405,False,
HIST_00145,PLFS_2026,Trichy,E106,2025-08-01,42,Female,Graduate,Self-Employed,3,50,40715,False,
HIST_00146,PLFS_2026,Madurai,E105,2025-06-01,40,Male,Higher Secondary,Employed,4,41,18260,False,
HIST_00147,PLFS_2026,Coimbatore,E102,2024-01-01,47,Male,Secondary,Employed,2,45,16280,False,
HIST_00148,PLFS_2026,Chennai,E107,2024-03-01,43,Male,Below Primary,Employed,4,53,10775,False,
HIST_00149,PLFS_2026,Chennai,E103,2025-04-01,34,Female,Post Graduate,Unemployed,2,0,0,False,
HIST_00150,PLFS_2026,Coimbatore,E108,2025-04-01,47,Male,Graduate,Employed,2,51,35591,False,
HIST_00151,PLFS_2026,Coimbatore,E104,2025-08-01,42,Male,Below Primary,Employed,6,38,9012,False,
HIST_00152,PLFS_2026,Coimbatore,E106,2025-05-01,18,Female,Below Primary,Employed,5,50,11866,False,
HIST_00153,PLFS_2026,Salem,E108,2024-05-01,41,Female,Post Graduate,Employed,2,64,38982,False,
HIST_00154,PLFS_2026,Salem,E107,2025-03-01,39,Female,Secondary,Self-Employed,4,48,18805,False,
HIST_00155,PLFS_2026,Madurai,E107,2024-08-01,28,Female,Below Primary,Employed,4,60,15229,False,
HIST_00156,PLFS_2026,Coimbatore,E107,2025-01-01,57,Male,Graduate,Self-Employed,3,37,27295,False,
HIST_00157,PLFS_2026,Madurai,E106,2024-04-01,38,Female,Below Primary,Employed,5,31,15670,False,
HIST_00158,PLFS_2026,Coimbatore,E101,2025-12-01,36,Male,Graduate,Self-Employed,3,36,18732,False,
HIST_00159,PLFS_2026,Madurai,E102,2025-04-01,47,Female,Higher Secondary,Unemployed,4,0,0,False,
HIST_00160,PLFS_2026,Coimbatore,E102,2024-11-01,33,Female,Higher Secondary,Unemployed,6,0,0,False,
HIST_00161,PLFS_2026,Coimbatore,E101,2025-08-01,35,Male,Secondary,Unemployed,3,0,0,False,
HIST_00162,PLFS_2026,Salem,E104,2025-12-01,35,Male,Graduate,Self-Employed,4,59,34308,False,
HIST_00163,PLFS_2026,Chennai,E108,2024-06-01,34,Female,Below Primary,Employed,2,65,12142,False,
HIST_00164,PLFS_2026,Chennai,E105,2024-12-01,38,Female,Graduate,Employed,3,46,27191,False,
HIST_00165,PLFS_2026,Trichy,E107,2025-07-01,31,Male,Secondary,Employed,3,44,16043,False,
HIST_00166,PLFS_2026,Trichy,E107,2025-08-01,29,Male,Graduate,Self-Employed,4,42,36422,False,
HIST_00167,PLFS_2026,Madurai,E104,2025-03-01,18,Female,Graduate,Employed,5,54,16389,False,
HIST_00168,PLFS_2026,Chennai,E108,2024-10-01,33,Male,Below Primary,Employed,3,33,10133,False,
HIST_00169,PLFS_2026,Salem,E105,2025-09-01,24,Female,Higher Secondary,Employed,6,52,27594,False,
HIST_00170,PLFS_2026,Salem,E104,2025-01-01,46,Female,Below Primary,Employed,2,40,13174,False,
HIST_00171,PLFS_2026,Trichy,E106,2025-07-01,23,Female,Higher Secondary,Employed,4,43,20350,False,
HIST_00172,PLFS_2026,Coimbatore,E105,2024-01-01,46,Male,Post Graduate,Unemployed,4,0,0,False,
HIST_00173,PLFS_2026,Salem,E104,2025-08-01,25,Female,Secondary,Unemployed,4,0,0,False,
HIST_00174,PLFS_2026,Trichy,E105,2025-10-01,41,Male,Below Primary,Self-Employed,2,52,11556,False,
HIST_00175,PLFS_2026,Chennai,E105,2025-03-01,31,Male,Post Graduate,Employed,5,39,27295,False,
HIST_00176,PLFS_2026,Madurai,E102,2024-10-01,19,Female,Graduate,Employed,4,34,37826,False,
HIST_00177,PLFS_2026,Madurai,E106,2025-05-01,18,Female,Secondary,Employed,6,46,17651,False,
HIST_00178,PLFS_2026,Coimbatore,E105,2025-12-01,31,Female,Below Primary,Employed,4,44,14647,False,
HIST_00179,PLFS_2026,Chennai,E103,2024-08-01,39,Female,Post Graduate,Employed,4,42,37567,False,
HIST_00180,PLFS_2026,Coimbatore,E101,2024-09-01,41,Male,Graduate,Employed,1,34,32162,False,
HIST_00181,PLFS_2026,Salem,E107,2025-09-01,40,Female,Below Primary,Unemployed,3,0,0,False,
HIST_00182,PLFS_2026,Coimbatore,E101,2025-08-01,31,Female,Post Graduate,Employed,2,46,30564,False,
HIST_00183,PLFS_2026,Chennai,E108,2025-11-01,42,Female,Graduate,Employed,1,53,30646,False,
HIST_00184,PLFS_2026,Chennai,E101,2024-10-01,41,Female,Below Primary,Employed,5,58,14434,False,
HIST_00185,PLFS_2026,Trichy,E103,2025-01-01,18,Female,Higher Secondary,Unemployed,2,0,0,False,
HIST_00186,PLFS_2026,Trichy,E107,2025-07-01,44,Male,Graduate,Unemployed,3,0,0,False,
HIST_00187,PLFS_2026,Coimbatore,E107,2024-09-01,30,Male,Higher Secondary,Employed,2,37,16052,False,
HIST_00188,PLFS_2026,Coimbatore,E104,2024-12-01,26,Male,Higher Secondary,Employed,5,37,33582,False,
HIST_00189,PLFS_2026,Salem,E101,2025-01-01,43,Female,Secondary,Self-Employed,4,38,20521,False,
HIST_00190,PLFS_2026,Coimbatore,E102,2025-10-01,31,Male,Post Graduate,Self-Employed,4,65,37269,False,
HIST_00191,PLFS_2026,Chennai,E106,2024-08-01,51,Male,Post Graduate,Employed,3,44,51458,False,
HIST_00192,PLFS_2026,Trichy,E104,2025-07-01,30,Male,Secondary,Employed,6,50,15975,False,
HIST_00193,PLFS_2026,Madurai,E101,2024-09-01,45,Male,Secondary,Employed,5,49,12347,False,
HIST_00194,PLFS_2026,Madurai,E102,2025-10-01,29,Male,Secondary,Employed,3,44,20234,False,
HIST_00195,PLFS_2026,Madurai,E106,2024-01-01,40,Male,Higher Secondary,Employed,2,48,24686,False,
HIST_00196,PLFS_2026,Coimbatore,E102,2025-12-01,44,Male,Graduate,Employed,5,51,30571,False,
HIST_00197,PLFS_2026,Salem,E102,2025-03-01,37,Male,Post Graduate,Employed,1,48,39578,False,
HIST_00198,PLFS_2026,Trichy,E105,2025-03-01,41,Male,Below Primary,Self-Employed,2,36,14527,False,
HIST_00199,PLFS_2026,Coimbatore,E107,2025-10-01,37,Male,Graduate,Unemployed,4,0,0,False,
HIST_00200,PLFS_2026,Coimbatore,E102,2024-03-01,49,Female,Post Graduate,Employed,3,45,34486,False,
HIST_00201,PLFS_2026,Madurai,E105,2025-08-01,32,Female,Graduate,Self-Employed,3,46,25319,False,
HIST_00202,PLFS_2026,Trichy,E105,2025-03-01,53,Female,Below Primary,Self-Employed,2,43,10944,False,
HIST_00203,PLFS_2026,Chennai,E104,2025-02-01,55,Female,Secondary,Employed,4,53,12651,False,
HIST_00204,PLFS_2026,Coimbatore,E107,2025-02-01,41,Male,Higher Secondary,Employed,5,45,26688,False,
HIST_00205,PLFS_2026,Salem,E106,2024-05-01,31,Female,Below Primary,Employed,5,63,11129,False,
HIST_00206,PLFS_2026,Chennai,E102,2025-02-01,32,Male,Higher Secondary,Self-Employed,5,57,19699,False,
HIST_00207,PLFS_2026,Trichy,E101,2025-07-01,32,Female,Below Primary,Employed,3,34,9795,False,
HIST_00208,PLFS_2026,Coimbatore,E101,2024-10-01,25,Female,Higher Secondary,Employed,3,44,23030,False,
HIST_00209,PLFS_2026,Trichy,E104,2024-05-01,56,Female,Secondary,Self-Employed,2,52,17229,False,
HIST_00210,PLFS_2026,Salem,E106,2024-04-01,37,Female,Post Graduate,Employed,4,36,40906,False,
HIST_00211,PLFS_2026,Coimbatore,E101,2025-08-01,39,Female,Below Primary,Employed,4,47,17892,False,
HIST_00212,PLFS_2026,Salem,E106,2024-12-01,30,Male,Secondary,Self-Employed,3,40,16000,False,
HIST_00213,PLFS_2026,Trichy,E107,2024-03-01,30,Male,Below Primary,Employed,5,56,10630,False,
HIST_00214,PLFS_2026,Trichy,E104,2025-01-01,28,Female,Graduate,Employed,4,40,31544,False,
HIST_00215,PLFS_2026,Salem,E105,2025-12-01,40,Female,Post Graduate,Employed,2,57,51648,False,
HIST_00216,PLFS_2026,Chennai,E103,2024-06-01,30,Male,Below Primary,Employed,3,47,12802,False,
HIST_00217,PLFS_2026,Coimbatore,E108,2025-08-01,45,Female,Graduate,Employed,6,43,23529,False,
HIST_00218,PLFS_2026,Trichy,E102,2024-12-01,21,Female,Below Primary,Employed,3,44,16306,False,
HIST_00219,PLFS_2026,Trichy,E108,2025-05-01,31,Female,Below Primary,Employed,4,44,14852,False,
HIST_00220,PLFS_2026,Trichy,E101,2024-01-01,65,Male,Higher Secondary,Self-Employed,3,41,26594,False,
HIST_00221,PLFS_2026,Madurai,E105,2024-10-01,46,Female,Below Primary,Employed,6,49,11137,False,
HIST_00222,PLFS_2026,Coimbatore,E103,2024-05-01,45,Female,Post Graduate,Unemployed,5,0,0,False,
HIST_00223,PLFS_2026,Trichy,E106,2024-03-01,50,Female,Below Primary,Employed,5,56,13556,False,
HIST_00224,PLFS_2026,Coimbatore,E102,2024-11-01,35,Female,Post Graduate,Employed,4,54,31791,False,
HIST_00225,PLFS_2026,Coimbatore,E105,2024-04-01,42,Female,Below Primary,Self-Employed,3,45,15068,False,
HIST_00226,PLFS_2026,Madurai,E108,2025-11-01,40,Female,Below Primary,Employed,4,34,13791,False,
HIST_00227,PLFS_2026,Chennai,E104,2025-02-01,45,Female,Post Graduate,Employed,6,42,39665,False,
HIST_00228,PLFS_2026,Salem,E106,2024-08-01,40,Female,Secondary,Employed,6,44,19004,False,
HIST_00229,PLFS_2026,Chennai,E104,2024-12-01,45,Female,Secondary,Employed,4,41,18698,False,
HIST_00230,PLFS_2026,Madurai,E105,2024-07-01,50,Male,Post Graduate,Employed,2,46,32679,False,
HIST_00231,PLFS_2026,Chennai,E103,2025-09-01,52,Female,Graduate,Self-Employed,2,40,30112,False,
HIST_00232,PLFS_2026,Trichy,E108,2025-10-01,56,Female,Higher Secondary,Employed,3,40,30277,False,
HIST_00233,PLFS_2026,Chennai,E108,2025-03-01,20,Female,Higher Secondary,Employed,1,48,19790,False,
HIST_00234,PLFS_2026,Salem,E102,2024-10-01,25,Female,Graduate,Employed,4,46,24841,False,
HIST_00235,PLFS_2026,Salem,E105,2024-03-01,22,Male,Post Graduate,Employed,5,50,37246,False,
HIST_00236,PLFS_2026,Coimbatore,E108,2025-07-01,60,Male,Graduate,Self-Employed,2,32,24125,False,
HIST_00237,PLFS_2026,Trichy,E104,2024-11-01,37,Female,Post Graduate,Employed,4,43,40675,False,
HIST_00238,PLFS_2026,Chennai,E108,2024-04-01,22,Female,Below Primary,Employed,5,44,14681,False,
HIST_00239,PLFS_2026,Madurai,E101,2024-08-01,42,Female,Graduate,Employed,4,49,30507,False,
HIST_00240,PLFS_2026,Trichy,E103,2024-12-01,45,Female,Higher Secondary,Employed,5,46,25119,False,
HIST_00241,PLFS_2026,Salem,E101,2025-09-01,36,Female,Below Primary,Employed,5,39,16322,False,
HIST_00242,PLFS_2026,Trichy,E107,2024-10-01,37,Female,Post Graduate,Self-Employed,2,46,32824,False,
HIST_00243,PLFS_2026,Salem,E102,2025-07-01,48,Male,Higher Secondary,Employed,3,41,13686,False,
HIST_00244,PLFS_2026,Coimbatore,E103,2025-08-01,32,Male,Higher Secondary,Employed,1,32,25345,False,
HIST_00245,PLFS_2026,Salem,E103,2025-10-01,47,Male,Graduate,Employed,4,37,27732,False,
